Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_tags_kb	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_tags_kb	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct	tss_up_5kb-10kb_total_bases	tss_up_1kb-5kb_total_bases	tss_up_5kb-10kb_tag_count	tss_up_1kb-5kb_tag_count	tes_down_5kb-10kb_total_bases	tes_down_1kb-5kb_total_bases	tes_down_5kb-10kb_tag_count	tes_down_1kb-5kb_tag_count
ES32_Blue-055_NA_14	84521471	98095497	96540340	33276731	67389960	2025.14	4740658	6279977	1324.71	20563428	15669703	762.02	506681601	5017909	9.9	12297643	169273	13.76	5.72	4.07	12593343	740192	58.78	39.02	24.74	1555157	68.69832159574052	6.401901404301973	15.973926917358908	5.11533062521718	0.17255939892939226	0.2804195996886585	0.33301018904058355	0.7545626686615391	1.8223160641104656	1.892159229286539	1.58535003905429	32123943	35773054	51589	105806	29212114	33220403	68513	1047418
ES33_101-LS_MG-lipid_0	87089697	101389978	99605261	33276731	70506785	2118.8	4740658	5901305	1244.83	20563428	15512892	754.39	506681601	5696334	11.24	12297643	205019	16.67	7.41	5.23	12593343	629220	49.96	32.31	20.91	1784717	69.54019163511408	5.820402683192218	15.300222276406847	5.618241676706942	0.20220834844248609	0.3511974329454929	0.41353396881100024	0.6205938815767373	1.4601206442711725	1.5471578463110032	1.7602499134579161	32123943	35773054	63203	151060	29212114	33220403	88247	851196
ES34_101-LS_MG-lipid_14	81505920	94578167	92987836	33276731	64346328	1933.67	4740658	5923196	1249.45	20563428	15188982	738.64	506681601	5503715	10.86	12297643	207167	16.85	7.26	5.1	12593343	650575	51.66	33.52	21.55	1590331	68.03507621373123	6.26275195204407	16.05971280877118	5.8192235846567	0.21904315400826072	0.3691190166542348	0.43210184016359715	0.6878701719816583	1.6236305362103285	1.7096345290768853	1.681499071556335	32123943	35773054	59568	141939	29212114	33220403	81341	885025
ES35_101-LS_MG-lipid_21	81079323	93748635	91979893	33276731	63233382	1900.23	4740658	5712242	1204.95	20563428	15118863	735.23	506681601	5837546	11.52	12297643	198235	16.12	7.13	5.05	12593343	656023	52.09	34.22	22.29	1768742	67.449922870877	6.093146849551463	16.12702200944046	6.226806395634454	0.21145374543320017	0.3654154537823404	0.4323593618189747	0.6997680552895517	1.6724200837697532	1.7840569092019314	1.8866856034757198	32123943	35773054	62759	144337	29212114	33220403	104658	911848
ES36_AR17-21_MG-lipid_0	74982031	86686598	85288441	33276731	59253396	1780.63	4740658	5815826	1226.8	20563428	14069435	684.2	506681601	4366843	8.62	12297643	160411	13.04	5.6	4.04	12593343	578055	45.9	30.27	19.45	1398157	68.35358333014753	6.709025540487816	16.230230882979164	5.037506489757505	0.1850470588314009	0.31034901150463884	0.3736759862233837	0.6668331822180864	1.5998932153272412	1.6830906203055749	1.612887150099027	32123943	35773054	54896	108620	29212114	33220403	72121	808838
ES37_AR17-21_MG-lipid_14	83335263	96660142	95031247	33276731	65862252	1979.23	4740658	5749293	1212.76	20563428	16121047	783.97	506681601	5291829	10.44	12297643	170541	13.87	6.07	4.48	12593343	687391	54.58	34.07	21.96	1628895	68.13796321548958	5.947945948599993	16.67807088468792	5.4746753837791795	0.17643363279975316	0.30192796530342364	0.3717954397377153	0.7111421375731064	1.6147741641016833	1.7043715909293822	1.6851775367762236	32123943	35773054	67534	121303	29212114	33220403	86605	873452
ES38_AR17-21_MG-lipid_21	76525750	88496436	86920128	33276731	59629587	1791.93	4740658	5320911	1122.4	20563428	14879045	723.57	506681601	5122215	10.11	12297643	170042	13.83	6.22	4.56	12593343	646351	51.32	33.15	21.36	1576308	67.38077791064941	6.012570946924913	16.81315731178146	5.7880466508278365	0.1921455910382651	0.33771190514384103	0.41356806730612294	0.730369525841696	1.7162510363694194	1.8106683979906266	1.781210714519622	32123943	35773054	67130	128821	29212114	33220403	83556	872470
ES39_LD19-239_MG-lipid_14	79928506	92332322	90740868	33276731	61317057	1842.64	4740658	4666073	984.27	20563428	16686707	811.47	506681601	5983647	11.81	12297643	153044	12.44	5.42	3.89	12593343	761860	60.5	37.1	23.66	1591454	66.40909236529328	5.053564016293233	18.072443797091985	6.480555097487962	0.16575344005753478	0.2824027321656657	0.337988900571568	0.8251281712594642	1.840876480935896	1.9227405544940155	1.723615268767962	32123943	35773054	51324	107705	29212114	33220403	75587	937864
ES3_48_Control-lipid_21	74775640	86524127	85087277	33276731	58444383	1756.31	4740658	5585092	1178.13	20563428	14580444	709.05	506681601	4773954	9.42	12297643	154191	12.54	5.09	3.55	12593343	589441	46.81	29.59	18.91	1436850	67.54692017869189	6.454953310306154	16.851304376639362	5.517483002168863	0.17820578530656542	0.28283556099907253	0.32910358055389566	0.6812446660109035	1.5668658523419716	1.639600478141779	1.6606350734980544	32123943	35773054	40033	90530	29212114	33220403	62933	766276
ES40_LD19-239_MG-lipid_21	93551783	108102921	106267410	33276731	73297498	2202.67	4740658	6040282	1274.14	20563428	17897865	870.37	506681601	6674992	13.17	12297643	189812	15.43	6.47	4.6	12593343	825748	65.57	41.4	26.49	1835511	67.80343890985148	5.587528943829372	16.55631950962731	6.174663865003241	0.1755845246771824	0.2878719623126557	0.34138577994576114	0.7638535502662319	1.754349450002373	1.8387338488291172	1.697929142913724	32123943	35773054	57850	121386	29212114	33220403	91222	1070755
