Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
ES50_Blue-024_Control-protein_14_2	3.4	39783087	13369878	39783087	1989154350	23079427	1946979926	2.120218775380603
ES51_Blue-024_Control-protein_21_1	3.4	38574255	11049376	38574255	1928712750	1935505	1911310941	0.9022499073540111
ES51_Blue-024_Control-protein_21_2	3.4	38574255	12755954	38574255	1928712750	19996066	1890486216	1.9819713433221198
ES52_SEM19-1481_MG-lipid_14_1	3.4	45481885	13347434	45481885	2274094250	1848430	2253298258	0.9144736195520481
ES52_SEM19-1481_MG-lipid_14_2	3.4	45481885	15047644	45481885	2274094250	28331140	2224332965	2.1881804151257143
ES53_SEM19-74_MG-protein_0_1	3.4	41518457	12018801	41518457	2075922850	1490418	2056198350	0.9501557343520739
ES53_SEM19-74_MG-protein_0_2	3.4	41518457	13871561	41518457	2075922850	22672569	2033458824	2.0455493324330427
ES54_SEM19-74_MG-protein_14_1	3.4	42985934	12561948	42985934	2149296700	1791201	2130100874	0.8931212707859274
ES54_SEM19-74_MG-protein_14_2	3.4	42985934	14411092	42985934	2149296700	21980396	2106796861	1.9773835320177062
ES55_SEM19-74_MG-protein_21_1	3.4	38374451	11223728	38374451	1918722550	2282542	1900488000	0.9503484492846554
ES55_SEM19-74_MG-protein_21_2	3.4	38374451	12726517	38374451	1918722550	23276114	1877401014	2.153596203890969
ES56_Blue-050_Control-lipid_21_1	3.4	49008438	13836010	49008438	2450421900	2008941	2429066664	0.8714922111984063
ES56_Blue-050_Control-lipid_21_2	3.4	49008438	16296206	49008438	2450421900	28171254	2398997678	2.0985864515820727
ES57_Blue-031_MG-lipid_0_1	3.4	52900129	15078533	52900129	2645006450	1967944	2622174009	0.8632281785172962
ES57_Blue-031_MG-lipid_0_2	3.4	52900129	17481868	52900129	2645006450	17973397	2601951657	1.6277764842501614
ES58_Blue-032_MG-protein_0_1	3.4	50394725	14562579	50394725	2519736250	2788056	2496582046	0.9189137950450171
ES58_Blue-032_MG-protein_0_2	3.4	50394725	16549403	50394725	2519736250	28582650	2467539184	2.0715289546673783
ES59_Blue-032_MG-protein_14_1	3.4	47661017	13905240	47661017	2383050850	2144163	2360481383	0.9470828958601534
ES59_Blue-032_MG-protein_14_2	3.4	47661017	15902360	47661017	2383050850	28310751	2332046872	2.1402807246014075
