Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
ES24_Blue-010_Control-lipid_21_2 - Adapter 1	11183481	3633766	1167115	175300	58702	6277	1767	761	930	1413	1172	854	766	753	428	630	743	353	590	349	439	386	448	468	306	268	317	254	250	203	139	172	166	97	94	56	52	72	44	29	47	26	17	7	21	13	67	22	7	82
ES25_619_MG-lipid_0_1 - Adapter 1	9214394	2895396	628345	92881	23753	1421	393	295	465	502	555	293	240	271	241	254	284	209	203	221	194	178	202	145	153	105	129	128	142	95	108	90	104	73	63	31	32	35	29	30	38	23	21	115	20	47	1172	2926	700	2463
ES25_619_MG-lipid_0_2 - Adapter 1	10191681	3319931	971500	158078	59445	5232	1161	418	631	979	819	502	416	397	277	431	462	229	314	220	260	278	251	227	206	170	201	125	150	92	141	88	134	57	45	50	38	46	33	41	38	16	12	3	23	6	47	16	17	125
ES26_619_MG-lipid_14_1 - Adapter 1	9344067	2889527	634864	101090	26289	1601	451	354	583	592	642	317	322	340	305	309	334	252	229	264	220	202	226	233	193	159	166	170	168	127	396	134	153	98	81	88	61	59	45	50	81	259	384	1148	389	109	1532	1551	1740	87633
ES26_619_MG-lipid_14_2 - Adapter 1	10394758	3265183	1016559	164616	54658	5527	1315	523	752	1090	960	534	585	488	338	505	583	248	474	174	283	274	322	356	243	195	216	172	179	194	313	130	149	91	85	82	41	74	35	37	38	17	30	20	18	18	57	37	67	992
ES27_619_MG-lipid_21_1 - Adapter 1	9621487	2942953	648292	104946	27212	1609	495	385	608	569	684	302	315	342	290	308	302	263	227	268	248	218	217	234	194	180	186	168	188	121	1138	164	229	103	128	130	66	104	178	72	57	30	36	56	24	64	376	184	254	7287
ES27_619_MG-lipid_21_2 - Adapter 1	10312428	3351806	1021006	166935	60835	5932	1340	550	744	1111	1013	547	539	533	338	502	558	250	533	202	265	311	301	352	207	193	223	169	187	201	1064	189	181	99	116	160	48	114	154	83	38	41	71	25	33	31	49	52	50	160
ES28_Blue-098_Control-lipid_0_1 - Adapter 1	11184540	3600996	790278	139579	35479	2615	881	696	885	987	1121	598	539	600	519	596	667	453	410	502	435	366	403	385	380	270	323	276	283	218	201	199	167	177	113	89	56	69	46	48	73	22	26	60	27	56	143	65	111	5732
ES28_Blue-098_Control-lipid_0_2 - Adapter 1	12140109	4001902	1215651	199961	69119	9258	1981	1045	1262	1697	1648	1024	904	918	636	840	1072	445	858	370	542	479	578	592	407	342	412	270	327	250	172	166	203	178	129	90	105	79	62	47	79	31	23	13	21	22	108	55	19	75
ES29_Blue-098_Control-lipid_14_1 - Adapter 1	10766728	3543920	772579	132396	33469	2381	763	606	904	932	1094	559	545	578	498	579	576	491	393	494	408	334	354	362	344	285	293	265	287	194	198	155	170	148	128	92	72	63	59	52	82	62	121	1877	485	109	661	554	503	30028
ES29_Blue-098_Control-lipid_14_2 - Adapter 1	11656312	3919829	1181818	192657	70847	8532	1915	886	1136	1631	1597	909	894	910	604	775	936	485	728	500	568	474	489	571	400	342	442	311	274	244	134	191	130	154	101	120	78	82	48	59	61	41	31	10	35	12	90	47	24	513
ES2_48_Control-lipid_14_1 - Adapter 1	9244528	2971317	648755	103158	27552	1795	467	404	550	634	697	307	317	366	267	336	353	260	211	283	220	199	239	206	182	159	152	159	121	119	180	137	90	89	67	50	40	38	37	57	57	48	84	1281	180	122	2042	870	242	21462
ES2_48_Control-lipid_14_2 - Adapter 1	10352574	3395635	1046784	158985	51558	6117	1300	535	736	998	944	561	572	533	297	489	584	262	428	229	314	281	299	293	247	163	193	142	151	121	185	115	129	73	85	51	53	45	39	43	48	28	30	16	28	18	45	12	24	308
ES30_Blue-098_Control-lipid_21_1 - Adapter 1	7388239	2341823	514427	92286	22232	1540	481	386	544	625	704	365	309	367	343	303	382	303	246	272	279	253	233	234	219	194	172	176	184	118	117	118	111	95	55	49	35	57	26	36	34	31	32	88	25	39	710	1230	165	1673
ES30_Blue-098_Control-lipid_21_2 - Adapter 1	8154711	2583670	807665	128803	43978	5920	1148	542	732	1065	995	592	543	589	371	450	583	288	556	182	309	260	315	376	250	222	240	166	162	146	106	120	122	93	48	51	51	62	32	41	26	26	24	9	23	11	27	17	13	64
ES31_Blue-055_NA_0_1 - Adapter 1	9425254	3017440	684526	107581	28901	1908	442	369	615	542	677	303	298	288	318	277	298	224	216	265	203	232	209	178	191	119	126	123	157	98	427	111	121	85	51	51	41	69	34	23	26	13	8	37	35	41	101	55	82	3137
ES31_Blue-055_NA_0_2 - Adapter 1	10441454	3675107	1065534	168814	64676	6629	1194	477	669	1046	1098	513	530	459	348	447	506	242	443	207	241	303	285	314	221	169	185	147	150	111	434	91	131	78	70	59	60	67	39	30	38	28	27	27	25	19	53	24	9	63
ES32_Blue-055_NA_14_1 - Adapter 1	9711688	3135431	676041	115871	30209	2071	521	528	702	736	783	375	364	417	345	357	424	310	269	288	258	241	323	231	261	204	215	188	170	145	485	136	111	119	75	60	57	50	32	37	41	13	22	35	24	47	98	54	152	6621
ES32_Blue-055_NA_14_2 - Adapter 1	10788014	3601707	1094194	175802	60560	8377	1703	651	851	1224	1064	676	604	589	402	534	690	252	548	201	316	312	386	400	269	266	274	211	174	265	388	125	103	111	83	68	64	53	36	36	36	23	23	11	24	12	55	29	20	91
ES33_101-LS_MG-lipid_0_1 - Adapter 1	9723390	3167624	684015	104907	25963	1684	399	407	558	564	663	262	281	258	270	267	280	216	191	227	202	181	190	160	180	125	146	151	135	95	216	88	81	64	56	38	27	43	31	29	55	26	43	92	41	46	761	377	298	14408
ES33_101-LS_MG-lipid_0_2 - Adapter 1	10706938	3649893	1049316	169658	67863	7390	1255	433	682	1019	956	441	437	417	309	411	484	230	448	166	213	243	303	279	203	182	198	146	134	154	193	98	105	78	46	51	35	57	43	30	51	21	36	30	36	13	72	22	11	181
ES34_101-LS_MG-lipid_14_1 - Adapter 1	9274027	3000570	665781	106363	27027	1769	531	462	563	624	584	312	355	328	321	300	365	239	246	272	231	230	235	201	174	173	166	160	152	117	138	107	109	98	60	45	34	32	31	21	47	11	23	114	29	47	327	117	51	2575
ES34_101-LS_MG-lipid_14_2 - Adapter 1	10108030	3493929	1040874	169549	59081	7009	1420	594	728	1121	1118	568	537	535	371	495	573	219	544	175	269	305	360	333	210	214	207	161	204	126	143	89	139	112	77	49	57	58	19	20	38	17	22	7	20	15	49	21	20	124
ES35_101-LS_MG-lipid_21_1 - Adapter 1	9426391	2988824	668263	108716	27067	1783	482	404	535	570	698	287	332	344	318	323	362	260	238	231	229	209	212	213	196	141	173	164	143	112	169	107	107	62	57	42	48	34	32	27	40	15	8	47	31	47	87	57	106	3514
ES35_101-LS_MG-lipid_21_2 - Adapter 1	10443527	3395779	1072824	168998	61593	6778	1292	528	727	1025	1110	550	540	512	367	605	547	286	504	207	283	292	344	352	219	189	211	180	168	152	165	122	101	98	60	56	41	55	29	21	47	16	16	7	35	15	61	21	14	66
ES36_AR17-21_MG-lipid_0_1 - Adapter 1	8665075	2751968	601186	96308	24789	1613	554	445	565	632	650	336	339	375	322	338	359	257	257	275	207	216	227	235	212	183	193	171	150	121	102	116	123	84	79	56	53	57	30	29	43	22	26	85	38	50	295	217	285	14543
ES36_AR17-21_MG-lipid_0_2 - Adapter 1	9714719	3194837	1004099	151483	52223	6417	1258	562	730	1021	1006	557	606	548	371	494	553	281	510	237	278	272	276	302	236	220	284	163	168	115	108	90	147	66	57	80	54	61	31	26	37	16	9	3	16	19	30	20	52	154
ES37_AR17-21_MG-lipid_14_1 - Adapter 1	9912891	3150860	704244	115110	27933	1882	483	430	629	703	757	361	358	392	320	370	418	322	229	307	234	231	244	240	251	216	207	205	157	158	207	146	110	101	94	50	47	64	54	52	76	25	27	39	38	50	100	58	198	8145
ES37_AR17-21_MG-lipid_14_2 - Adapter 1	10960642	3497723	1122874	171976	58028	7013	1509	597	758	1111	1039	635	574	576	336	569	654	282	537	224	307	284	330	399	246	225	238	174	142	198	166	167	122	70	73	62	57	97	52	36	54	28	21	12	27	27	65	24	17	140
ES38_AR17-21_MG-lipid_21_1 - Adapter 1	9138974	2869414	630214	107229	26361	1964	538	442	718	656	801	407	411	451	384	388	421	288	295	319	273	251	311	277	246	202	197	193	176	177	145	171	129	112	92	83	52	47	44	36	48	15	21	32	28	60	103	81	119	5170
ES38_AR17-21_MG-lipid_21_2 - Adapter 1	9939307	3226106	1005045	158018	55384	7181	1616	631	920	1147	1175	690	685	616	423	548	671	255	530	336	344	336	404	360	270	237	297	189	198	177	138	153	140	110	85	98	42	52	48	38	48	21	22	6	15	5	52	28	12	92
ES39_LD19-239_MG-lipid_14_1 - Adapter 1	9747520	3035724	669564	116297	29726	1860	580	466	664	751	791	424	391	406	353	390	431	316	299	291	280	227	289	289	259	206	231	212	208	154	168	147	142	145	115	63	61	69	38	39	53	27	43	167	31	89	1029	292	91	8010
ES39_LD19-239_MG-lipid_14_2 - Adapter 1	10556751	3310784	1027296	173719	56423	6103	1546	696	961	1302	1042	728	573	620	417	599	712	262	593	240	333	338	400	435	280	246	317	211	207	199	142	159	125	124	79	65	70	70	31	32	65	14	17	6	22	16	75	29	15	110
ES3_48_Control-lipid_21_1 - Adapter 1	8826108	2795106	608290	98713	25245	1736	583	492	646	640	712	364	370	408	327	388	355	330	279	336	268	248	283	252	244	185	169	178	154	141	249	133	135	93	80	59	28	53	35	44	55	11	26	33	21	62	97	76	221	11571
ES3_48_Control-lipid_21_2 - Adapter 1	9818392	3147444	980062	151820	49141	6068	1305	686	788	1033	1034	648	609	598	397	585	619	298	590	228	341	324	349	357	272	203	233	197	172	164	223	115	166	86	69	63	52	65	39	44	46	23	25	14	13	14	66	20	20	141
ES40_LD19-239_MG-lipid_21_1 - Adapter 1	11137342	3543325	766747	124865	32282	1984	676	511	752	881	863	474	505	518	429	397	479	327	339	408	332	304	347	333	273	245	257	251	213	165	165	179	154	145	92	64	64	59	41	47	64	19	12	30	21	71	93	57	107	5889
ES40_LD19-239_MG-lipid_21_2 - Adapter 1	12020184	3913641	1182915	195599	70740	7119	1568	736	1054	1478	1269	697	779	639	519	810	694	509	586	397	471	432	453	489	302	267	347	247	222	170	172	132	174	130	64	64	64	86	53	47	58	32	17	2	20	7	63	21	8	75
ES41_Blue-013_Control-protein_0_1 - Adapter 1	10536819	3193024	695196	111912	28576	1775	557	458	629	672	693	371	388	390	351	357	440	310	273	290	270	291	235	199	231	192	193	176	198	132	200	138	145	106	79	72	45	47	37	41	49	34	45	104	34	87	2953	1556	188	6821
ES41_Blue-013_Control-protein_0_2 - Adapter 1	11303134	3604608	1072612	179882	61814	6248	1344	621	830	1173	969	639	541	613	376	515	626	302	546	219	331	293	311	344	252	224	264	182	176	160	170	119	140	108	73	83	50	65	34	37	48	23	38	2	20	5	69	34	24	137
ES42_Blue-013_Control-protein_14_1 - Adapter 1	9479585	2869776	641603	110326	29523	1949	659	444	620	694	789	407	345	420	340	364	414	298	274	353	247	230	280	263	244	224	215	182	203	122	216	130	141	122	90	62	55	53	46	43	57	43	56	128	77	109	315	391	1115	54155
ES42_Blue-013_Control-protein_14_2 - Adapter 1	9979720	3246298	981002	166923	53169	5698	1502	653	846	1245	983	673	599	629	391	569	638	279	584	253	337	305	376	339	332	262	327	191	195	158	194	115	159	91	98	75	60	62	34	56	60	34	55	25	26	20	82	46	113	709
ES43_Blue-013_Control-protein_21_1 - Adapter 1	9973028	3149331	690253	113269	28322	1752	525	384	620	695	776	363	354	385	302	310	382	284	247	362	137	200	236	230	207	187	196	188	133	125	99	134	74	108	78	48	45	45	40	28	58	32	25	98	32	57	1227	438	109	5275
ES43_Blue-013_Control-protein_21_2 - Adapter 1	10745209	3420538	1060084	174859	60335	5676	1310	592	885	1160	1027	586	543	563	369	489	600	258	498	222	285	262	345	319	251	234	249	175	153	148	121	95	112	118	55	61	53	58	33	32	62	27	16	9	22	15	64	32	20	87
ES44_Blue-015_MG-lipid_0_1 - Adapter 1	10338911	3268149	722005	123503	32816	2060	596	484	748	800	822	419	414	445	392	348	452	363	280	321	277	250	273	300	224	223	198	232	174	155	199	159	128	103	78	75	48	60	64	44	49	33	45	280	87	100	846	416	347	17322
ES44_Blue-015_MG-lipid_0_2 - Adapter 1	11223888	3710432	1114629	190066	62683	7204	1626	677	929	1303	1150	692	706	678	453	586	697	358	627	233	346	345	384	438	251	241	283	239	173	152	205	145	127	93	99	75	65	59	50	37	57	26	24	8	24	28	70	27	25	275
ES45_Blue-015_MG-lipid_14_1 - Adapter 1	11340936	3664380	806474	131826	35196	2359	544	471	733	693	823	359	343	348	326	357	376	273	258	312	260	211	268	253	237	182	195	190	135	131	292	120	131	109	84	66	38	43	45	53	38	23	39	65	28	51	112	70	139	7117
ES45_Blue-015_MG-lipid_14_2 - Adapter 1	12061492	4174370	1239359	212678	75316	7029	1555	583	927	1234	1198	638	625	589	408	604	677	270	631	193	316	304	375	423	286	209	242	205	158	164	249	128	165	108	82	64	52	45	44	45	59	31	40	23	29	10	92	27	26	185
ES46_Blue-015_MG-lipid_21_1 - Adapter 1	10063671	3060846	692127	120734	31054	2141	656	581	737	805	950	451	451	541	463	509	470	389	315	420	347	321	382	348	306	275	221	243	203	156	153	147	152	151	97	79	48	45	44	48	58	14	18	36	38	47	122	74	102	6352
ES46_Blue-015_MG-lipid_21_2 - Adapter 1	10707062	3433824	1016608	183387	60086	6826	1533	822	1039	1543	1324	788	772	782	553	754	836	415	709	292	462	411	497	453	409	362	339	243	232	171	165	141	181	158	100	60	73	74	44	57	49	30	33	5	24	9	49	24	11	64
