Sample	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Biotype Counts_mqc-generalstats-biotype_counts-percent_rRNA	DupRadar_mqc-generalstats-dupradar-dupRadar_intercept	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	Rsem_mqc-generalstats-rsem-alignable_percent	RSeQC_mqc-generalstats-rseqc-proper_pairs_percent	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
ES19_615_Control-protein_21_1																		79.13987404665414	52.0	50.0	36.36363636363637	43779323.0	1.0852197965692616	78.64116288655573	53.0	49.554286223391394	36.36363636363637	43201808.0
ES19_615_Control-protein_21_2																		73.78672778942611	56.0	50.0	18.181818181818183	43779323.0	2.3965594899674443	74.78523534869069	56.0	49.27362627971496	27.27272727272727	43201808.0
ES1_48_Control-lipid_0	110544922	98750760	0.2358995700555058	2.90070146547689e-12	1.36	44645989.0	86.1908354994297	76.75403669831165	81.83160224706533	41390656	0.001809687	9384356.0	89366404.0	88.34114668753436	88.26757454085418	0.4142948350051739	101160566.0											
ES1_48_Control-lipid_0_1																		81.10210134340214	53.0	50.0	27.27272727272727	51030869.0	1.0352163511070134	80.6722399627843	53.0	49.560064837913224	27.27272727272727	50580283.0
ES1_48_Control-lipid_0_2																		77.26456301936075	56.0	50.0	18.181818181818183	51030869.0	1.8994244836395007	77.8470856251902	56.0	49.36310724081951	27.27272727272727	50580283.0
ES20_618_Control-lipid_0	103070175	93605958	0.3337463079664138	2.90070146547684e-12	1.41	42763200.0	88.3439809968253	79.193075979545	84.19540324807332	40016643	0.001561029	8013577.0	85592381.0	90.04359802567309	89.97418569513712	0.3737604832018078	95056598.0											
ES20_618_Control-lipid_0_1																		82.42409063781577	54.0	50.0	27.27272727272727	47849211.0	0.8723489296406581	82.06162767982825	54.0	49.570059850027455	27.27272727272727	47528299.0
ES20_618_Control-lipid_0_2																		79.15677649168721	57.0	50.0	27.27272727272727	47849211.0	1.747135015455114	79.71791601992607	57.0	49.37629823444765	36.36363636363637	47528299.0
ES21_618_Control-lipid_14	72511283	65974304	0.26740664708394574	2.90070146547689e-12	1.38	29952807.0	88.46653230467456	78.80914477819955	83.74258572559452	27833581	0.001565935	6037145.0	59937159.0	90.16613197752184	90.11867743211653	0.4801205545531106	66474138.0											
ES21_618_Control-lipid_14_1																		81.79145914171085	53.0	50.0	27.27272727272727	33752786.0	1.9060692649193463	81.26594515762113	54.0	49.56126805284786	27.27272727272727	33237069.0
ES21_618_Control-lipid_14_2																		78.19464389326305	57.0	50.0	27.27272727272727	33752786.0	1.9970064100782674	79.03575797576406	57.0	49.40395580609108	36.36363636363637	33237069.0
ES22_618_Control-lipid_21	101292447	90503069	0.35927392258893315	2.90070146547677e-12	1.4	40495762.0	86.05173140282349	76.12883515391825	83.0390241142208	38140748	0.001636458	9430221.0	81072848.0	88.2548263091295	88.16629808208654	0.5940874979450204	91862226.0											
ES22_618_Control-lipid_21_1																		81.45581785706275	52.0	50.0	36.36363636363637	46382754.0	0.9564534266335285	81.05032922791221	53.0	49.556145700192374	36.36363636363637	45931113.0
ES22_618_Control-lipid_21_2																		76.90251755580988	56.0	50.0	18.181818181818183	46382754.0	2.0486170355473075	77.74646488074076	56.0	49.332618110081505	27.27272727272727	45931113.0
ES23_Blue-010_Control-lipid_0	99261015	89671377	0.6100835557229042	2.90070146547692e-12	1.43	40781333.0	87.58760810960985	78.37048210719989	83.02535786420803	37870217	0.002326199	8035351.0	81636026.0	89.4880041651437	89.40758819798779	0.4134023074910148	91225664.0											
ES23_Blue-010_Control-lipid_0_1																		79.3554148276657	53.0	50.0	27.27272727272727	45957789.0	0.8949857444186446	78.89385974062465	53.0	49.56103663986485	27.27272727272727	45612832.0
ES23_Blue-010_Control-lipid_0_2																		76.08161100709104	56.0	50.0	18.181818181818183	45957789.0	1.8579646640529204	76.56852176519418	56.0	49.35054902971164	27.27272727272727	45612832.0
ES24_Blue-010_Control-lipid_21	107735433	97184974	0.5821188872638278	2.90070146547694e-12	1.44	44140483.0	87.50083894809211	78.11181489380564	83.12024953056707	41104807	0.001793781	8830997.0	88353977.0	89.33267361233423	89.25885386981025	0.42174650285655535	98904436.0											
ES24_Blue-010_Control-lipid_21_1																		81.79943850941727	54.0	50.0	27.27272727272727	49818486.0	0.8832188517330695	81.38189326291872	54.0	49.563680298424636	27.27272727272727	49452218.0
ES24_Blue-010_Control-lipid_21_2																		78.15276763038582	57.0	50.0	27.27272727272727	49818486.0	1.8168266293760913	78.6851823219104	57.0	49.367017349959916	36.36363636363637	49452218.0
ES25_619_MG-lipid_0	95436179	87305574	0.2617151745522731	2.90070146547696e-12	1.41	39701211.0	89.12465579743575	79.34887250672514	85.56159072452544	37476550	0.002072318	7834839.0	79470735.0	90.71862941822579	90.64064773438398	0.4517339574942575	87601340.0											
ES25_619_MG-lipid_0_1																		82.14570047441691	53.0	50.0	36.36363636363637	44150438.0	0.8858884253877618	81.81135617057859	53.0	49.56609743640908	27.27272727272727	43800670.0
ES25_619_MG-lipid_0_2																		78.20331123593425	56.0	50.0	27.27272727272727	44150438.0	1.8777961387381932	78.8340189209295	56.0	49.357973428260344	36.36363636363637	43800670.0
ES26_619_MG-lipid_14	96446554	86883202	0.2746789082329998	2.90070146547695e-12	1.39	39052188.0	87.03819650045791	77.14423057562016	83.97582550845073	36846623	0.002249127	8691244.0	78191958.0	89.10225261582461	89.0024501081473	0.5443419891058444	87755310.0											
ES26_619_MG-lipid_14_1																		79.9043952904264	52.0	50.0	36.36363636363637	44410086.0	1.0985087036309726	79.44479518975217	52.0	49.55759828094733	36.36363636363637	43877655.0
ES26_619_MG-lipid_14_2																		75.23997466213329	56.0	50.0	18.181818181818183	44410086.0	2.222599884179463	76.15169862198583	56.0	49.31378946755473	27.27272727272727	43877655.0
ES27_619_MG-lipid_21	97744122	88608688	0.2579501845874454	2.90070146547722e-12	1.43	40067894.0	87.8317562973027	78.09696628100052	83.05230984154419	37096996	0.002296702	8410072.0	80198616.0	89.77384994859183	89.70352066205439	0.4611556287887989	89334050.0											
ES27_619_MG-lipid_21_1																		81.30440260051691	52.0	50.0	36.36363636363637	44969958.0	0.905596131532967	80.9074248141288	52.0	49.558324894035366	36.36363636363637	44667025.0
ES27_619_MG-lipid_21_2																		78.44400921605109	55.0	50.0	18.181818181818183	44969958.0	1.7632967769282772	78.87805487766175	55.0	49.367350590284445	27.27272727272727	44667025.0
ES28_Blue-098_Control-lipid_0	116887200	103654687	0.2417945328950795	2.9007014654771e-12	1.41	47460317.0	85.35284810810211	77.59852233606416	79.85708068644925	43215449	0.001767725	8655222.0	94999465.0	87.77393405856446	87.70109883790538	0.34652235589744096	108231978.0											
ES28_Blue-098_Control-lipid_0_1																		80.84755041117737	53.0	50.0	27.27272727272727	54464395.0	0.887235486596335	80.39428066877004	53.0	49.563103614349544	27.27272727272727	54115989.0
ES28_Blue-098_Control-lipid_0_2																		77.87798142977891	57.0	50.0	18.181818181818183	54464395.0	1.7429774442550956	78.28577611283673	57.0	49.36641797306892	27.27272727272727	54115989.0
ES29_Blue-098_Control-lipid_14	111968320	100744087	0.2861131947141842	2.9007014654766e-12	1.45	46289764.0	87.1818904878954	78.97865217590119	80.87028076544216	41986923	0.001742686	8130612.0	92613475.0	89.19060020084419	89.15790783825852	0.30402250404063236	103837708.0											
ES29_Blue-098_Control-lipid_14_1																		80.18124797497987	53.0	50.0	27.27272727272727	52140641.0	0.9422574225736887	79.76084132830869	53.0	49.56262576596934	27.27272727272727	51918854.0
ES29_Blue-098_Control-lipid_14_2																		78.1849462246747	56.0	50.0	27.27272727272727	52140641.0	1.471702467179105	78.30551404897675	56.0	49.416332899027395	27.27272727272727	51918854.0
ES2_48_Control-lipid_14	99868493	89903205	0.32793420213227875	2.90070146547696e-12	1.33	40187989.0	87.01992748552269	76.24799344874464	83.7041396483578	37846584	0.001690849	9439073.0	80464132.0	88.98003769127348	88.88255392990467	0.4876145396044783	90429420.0											
ES2_48_Control-lipid_14_1																		81.54246210115792	53.0	50.0	27.27272727272727	45624327.0	0.938769091322706	81.18970136237662	53.0	49.56009152773511	27.27272727272727	45214710.0
ES2_48_Control-lipid_14_2																		77.64861698373014	57.0	50.0	27.27272727272727	45624327.0	1.9915414861900318	78.31317273981709	57.0	49.334632976745844	36.36363636363637	45214710.0
ES30_Blue-098_Control-lipid_21	76642542	67217467	0.2521078194522871	2.90070146547666e-12	1.43	30528674.0	84.02386252677402	76.20423915480256	80.49232187084692	28402734	0.001776804	6070012.0	61147455.0	86.64483900463821	86.51715901357086	0.461268711777798	70572530.0											
ES30_Blue-098_Control-lipid_21_1																		77.85196484483703	52.0	50.0	27.27272727272727	35667230.0	0.8955923406443393	77.37424910501485	53.0	49.55869560011523	27.27272727272727	35286265.0
ES30_Blue-098_Control-lipid_21_2																		72.81867878440248	56.0	50.0	18.181818181818183	35667230.0	2.2571018831571728	73.62828395881667	57.0	49.27036261842958	27.27272727272727	35286265.0
ES31_Blue-055_NA_0	100084835	93247476	0.28344195601979416	2.90070146547675e-12	1.36	43072832.0	91.24115967442062	82.0452808859604	83.92120579354389	39023333	0.001566496	7084901.0	86162575.0	92.64799585771749	92.62981197384505	0.1909969097397424	92999934.0											
ES31_Blue-055_NA_0_1																		83.92020059170659	54.0	50.0	27.27272727272727	46585222.0	0.8481456200852708	83.58254697243055	54.0	49.58060185290024	27.27272727272727	46499967.0
ES31_Blue-055_NA_0_2																		82.42543934740435	57.0	50.0	36.36363636363637	46585222.0	1.2126647373280737	82.36124501019009	57.0	49.46107660678555	36.36363636363637	46499967.0
ES32_Blue-055_NA_14	103890894	92944649	0.3818231885284695	2.90070146547694e-12	1.36	42227894.0	86.50084120973112	77.2045834931404	82.59009988256135	39423441	0.001730934	8423178.0	84521471.0	88.5340872719737	88.46528600307144	0.3098586751567409	95467716.0											
ES32_Blue-055_NA_14_1																		82.30290234260684	54.0	50.0	27.27272727272727	48039457.0	0.8705378997102319	81.88133377097026	54.0	49.57313131907335	27.27272727272727	47733858.0
ES32_Blue-055_NA_14_2																		79.11544467468549	57.0	50.0	18.181818181818183	48039457.0	1.7252450626159241	79.50900059570439	57.0	49.373614929679476	27.27272727272727	47733858.0
ES33_101-LS_MG-lipid_0	104259625	95553822	0.29413628487714977	2.90070146547677e-12	1.34	43516955.0	89.2005964156234	79.6120933678785	83.63684933008335	40060169	0.001497618	8464125.0	87089697.0	90.91209607966971	90.85386056756319	0.42550224175457096	95795500.0											
ES33_101-LS_MG-lipid_0_1																		83.6143212682922	53.0	50.0	27.27272727272727	48139143.0	0.8899157594060202	83.24139009970551	54.0	49.572318511829884	27.27272727272727	47897750.0
ES33_101-LS_MG-lipid_0_2																		81.04197539029127	57.0	50.0	27.27272727272727	48139143.0	1.562477254736338	81.33221039228874	57.0	49.40225342526528	36.36363636363637	47897750.0
ES34_101-LS_MG-lipid_14	96730393	88479069	0.28019001880095734	2.90070146547701e-12	1.42	40737754.0	89.09749847706829	80.48933699669762	82.83084092911766	37173340	0.0016178	6973149.0	81505920.0	90.80706622409217	90.77318372208487	0.28928695716192	89757244.0											
ES34_101-LS_MG-lipid_14_1																		81.55609493918726	53.0	50.0	27.27272727272727	45028801.0	0.8706316208597249	81.1371939891541	53.0	49.56903997631656	27.27272727272727	44878622.0
ES34_101-LS_MG-lipid_14_2																		79.76011491288928	56.0	50.0	18.181818181818183	45028801.0	1.4047305412373738	79.79871605054807	56.0	49.42191317728071	27.27272727272727	44878622.0
ES35_101-LS_MG-lipid_21	99281795	90193214	0.3164162140619432	2.90070146547665e-12	1.41	40505696.0	87.93553621701031	77.72935209320097	83.06126312972741	37447300	0.001667441	9113891.0	81079323.0	89.92038120349342	89.84504286580733	0.5631083539437713	90167904.0											
