ES68_Blue-037_MG-protein_14	4428.0	7644.0	10259.0	12541.0	14467.0	16243.0	17814.0	19347.0	20761.0	22065.0	23272.0	24409.0	25533.0	26532.0	27410.0	28288.0	29095.0	29929.0	30655.0	31361.0
ES69_Blue-037_MG-protein_21	5058.0	8593.0	11533.0	13964.0	16065.0	17968.0	19696.0	21265.0	22794.0	24195.0	25504.0	26670.0	27791.0	28893.0	29912.0	30845.0	31753.0	32609.0	33374.0	34104.0
ES6_164_Control-protein_21	4300.0	7371.0	10005.0	12258.0	14303.0	16115.0	17698.0	19146.0	20517.0	21828.0	23017.0	24145.0	25140.0	26127.0	27053.0	27954.0	28759.0	29527.0	30297.0	31050.0
ES70_Blue-039_Control-lipid_0	5641.0	9599.0	12782.0	15498.0	17905.0	19992.0	21921.0	23735.0	25343.0	26843.0	28267.0	29583.0	30766.0	31879.0	32949.0	33908.0	34817.0	35704.0	36517.0	37301.0
ES71_Blue-039_Control-lipid_14	4109.0	7020.0	9484.0	11720.0	13595.0	15304.0	16885.0	18302.0	19636.0	20909.0	22061.0	23142.0	24215.0	25135.0	26025.0	26922.0	27758.0	28574.0	29389.0	30116.0
ES72_Blue-039_Control-lipid_21	4713.0	8102.0	10973.0	13340.0	15414.0	17402.0	19113.0	20815.0	22319.0	23755.0	25083.0	26343.0	27429.0	28462.0	29510.0	30444.0	31328.0	32174.0	33026.0	33851.0
ES73_Blue-042_MG-protein_0	5728.0	9566.0	12706.0	15290.0	17672.0	19715.0	21585.0	23328.0	24839.0	26255.0	27602.0	28820.0	29959.0	31040.0	32041.0	33052.0	33943.0	34837.0	35663.0	36471.0
ES74_Blue-042_MG-protein_14	5792.0	9847.0	13103.0	15976.0	18489.0	20829.0	22932.0	24778.0	26526.0	28167.0	29685.0	31096.0	32436.0	33686.0	34893.0	35973.0	36988.0	38036.0	38978.0	39926.0
ES75_Blue-042_MG-protein_21	5073.0	8641.0	11550.0	14106.0	16381.0	18282.0	20042.0	21784.0	23384.0	24879.0	26186.0	27481.0	28607.0	29755.0	30830.0	31880.0	32814.0	33725.0	34631.0	35488.0
ES76_Blue-043_MG-lipid_0	4484.0	7648.0	10339.0	12580.0	14627.0	16471.0	18107.0	19637.0	20973.0	22261.0	23434.0	24581.0	25591.0	26609.0	27458.0	28311.0	29131.0	29898.0	30646.0	31348.0
ES77_Blue-043_MG-lipid_14	5531.0	9460.0	12598.0	15376.0	17704.0	19911.0	21887.0	23637.0	25306.0	26780.0	28295.0	29619.0	30942.0	32072.0	33157.0	34158.0	35110.0	36032.0	36930.0	37792.0
ES78_Blue-043_MG-lipid_21	5739.0	9631.0	12909.0	15595.0	18002.0	20120.0	22071.0	23837.0	25423.0	26945.0	28362.0	29644.0	30910.0	32036.0	33167.0	34215.0	35207.0	36118.0	37001.0	37894.0
ES79_Blue-050_Control-lipid_0	4136.0	7170.0	9679.0	11910.0	13865.0	15660.0	17296.0	18774.0	20108.0	21407.0	22623.0	23795.0	24850.0	25859.0	26823.0	27724.0	28618.0	29467.0	30242.0	30949.0
ES7_SEM19-1354_Control-protein_14	4872.0	8330.0	11136.0	13543.0	15658.0	17660.0	19365.0	20948.0	22428.0	23827.0	25116.0	26294.0	27444.0	28482.0	29534.0	30505.0	31371.0	32256.0	33090.0	33861.0
ES80_Blue-050_Control-lipid_14	4032.0	6945.0	9268.0	11350.0	13238.0	14876.0	16305.0	17685.0	19013.0	20227.0	21439.0	22488.0	23489.0	24377.0	25273.0	26117.0	26893.0	27660.0	28424.0	29118.0
ES81_Blue-047_Control-lipid_0	5041.0	8703.0	11769.0	14348.0	16500.0	18533.0	20340.0	22019.0	23523.0	24944.0	26317.0	27576.0	28759.0	29840.0	30950.0	31946.0	32878.0	33695.0	34564.0	35365.0
ES82_Blue-047_Control-lipid_14	3444.0	5921.0	7926.0	9772.0	11395.0	12903.0	14275.0	15508.0	16635.0	17671.0	18709.0	19672.0	20545.0	21327.0	22101.0	22836.0	23555.0	24228.0	24854.0	25457.0
ES83_SEM19-1481_MG-lipid_0	4476.0	7796.0	10457.0	12814.0	14872.0	16750.0	18473.0	19963.0	21442.0	22779.0	24027.0	25238.0	26291.0	27330.0	28329.0	29277.0	30085.0	30944.0	31714.0	32441.0
ES84_LD19-239_MG-lipid_0	5115.0	8811.0	11788.0	14252.0	16519.0	18467.0	20191.0	21872.0	23414.0	24815.0	26067.0	27276.0	28418.0	29491.0	30489.0	31402.0	32309.0	33200.0	34042.0	34781.0
ES85_orange-24_Control-protein_0	4921.0	8388.0	11376.0	13884.0	16112.0	18188.0	20009.0	21694.0	23253.0	24776.0	26097.0	27387.0	28470.0	29614.0	30704.0	31715.0	32702.0	33588.0	34455.0	35269.0
ES86_orange-24_Control-protein_14	3964.0	6798.0	9198.0	11322.0	13213.0	14921.0	16419.0	17790.0	19069.0	20249.0	21376.0	22423.0	23401.0	24359.0	25257.0	26116.0	26876.0	27666.0	28382.0	29047.0
ES87_orange-24_Control-protein_21	4845.0	8370.0	11400.0	13961.0	16250.0	18240.0	20102.0	21831.0	23456.0	24983.0	26399.0	27675.0	28910.0	30084.0	31160.0	32172.0	33194.0	34186.0	35073.0	35897.0
ES88_610_MG-protein_0	4541.0	7755.0	10446.0	12755.0	14881.0	16766.0	18386.0	19952.0	21382.0	22648.0	23830.0	25007.0	26112.0	27140.0	28060.0	29009.0	29853.0	30685.0	31463.0	32194.0
ES8_SEM19-1354_Control-protein_21	5396.0	9155.0	12246.0	14924.0	17242.0	19256.0	21107.0	22788.0	24340.0	25778.0	27145.0	28316.0	29446.0	30523.0	31610.0	32604.0	33510.0	34442.0	35277.0	36061.0
ES90_Blue-049_Control-protein_14	4595.0	7843.0	10544.0	12870.0	14959.0	16840.0	18586.0	20206.0	21682.0	23057.0	24326.0	25446.0	26531.0	27592.0	28579.0	29476.0	30403.0	31253.0	32115.0	32878.0
ES91_Blue-049_Control-protein_21	4141.0	7256.0	9792.0	11963.0	13929.0	15662.0	17311.0	18821.0	20136.0	21365.0	22536.0	23657.0	24714.0	25645.0	26592.0	27468.0	28266.0	29033.0	29773.0	30510.0
ES92_SEM19-76_MG-lipid_0	4197.0	7208.0	9563.0	11654.0	13486.0	15182.0	16678.0	18047.0	19310.0	20530.0	21585.0	22578.0	23555.0	24465.0	25328.0	26161.0	26928.0	27660.0	28344.0	29040.0
ES93_SEM19-76_MG-lipid_14	4395.0	7508.0	10142.0	12295.0	14245.0	15969.0	17532.0	18992.0	20310.0	21571.0	22696.0	23768.0	24748.0	25714.0	26577.0	27421.0	28251.0	28978.0	29709.0	30384.0
ES94_SEM19-76_MG-lipid_21	4452.0	7492.0	9993.0	12179.0	14097.0	15723.0	17327.0	18762.0	20054.0	21296.0	22427.0	23436.0	24453.0	25378.0	26279.0	27112.0	27857.0	28596.0	29315.0	30007.0
ES95_610_MG-protein_14	5333.0	8894.0	11875.0	14370.0	16679.0	18669.0	20425.0	22168.0	23692.0	25144.0	26516.0	27710.0	28832.0	29903.0	30925.0	31936.0	32842.0	33710.0	34493.0	35280.0
ES96_610_MG-protein_21	5021.0	8580.0	11494.0	13893.0	16077.0	18002.0	19733.0	21289.0	22751.0	24080.0	25284.0	26442.0	27544.0	28566.0	29554.0	30494.0	31373.0	32187.0	32975.0	33730.0
ES97_SEM19-107_MG-protein_0	5021.0	8532.0	11414.0	13927.0	16145.0	18232.0	20003.0	21599.0	23103.0	24428.0	25782.0	27032.0	28162.0	29254.0	30232.0	31177.0	32062.0	32944.0	33776.0	34574.0
ES98_SEM19-107_MG-protein_14	6749.0	11335.0	15103.0	18238.0	20980.0	23587.0	25882.0	27935.0	29856.0	31558.0	33269.0	34735.0	36168.0	37497.0	38739.0	39918.0	41021.0	42081.0	43095.0	44034.0
ES99_SEM19-107_MG-protein_21	4786.0	8356.0	11374.0	13778.0	15944.0	17928.0	19676.0	21331.0	22843.0	24228.0	25598.0	26859.0	27990.0	29132.0	30162.0	31182.0	32132.0	33047.0	33875.0	34689.0
ES9_172_Control-protein_0	4353.0	7414.0	10122.0	12352.0	14322.0	16153.0	17789.0	19255.0	20599.0	21874.0	23018.0	24138.0	25225.0	26191.0	27144.0	27952.0	28777.0	29555.0	30292.0	30942.0
